Date Time VMFC
Date Time VMFC
Date Time VMFC
Date Time VMFC Temperature
2020-07-06 23:57:43 341.82 10.13
2020-07-07 00:02:44 342.09 9.46
2020-07-07 00:07:45 341.06 9.71
2020-07-07 00:12:45 341.71 9.69
2020-07-07 00:17:46 341.01 10.17
2020-07-07 00:22:47 339.93 9.86
2020-07-07 00:27:48 343.28 9.65
2020-07-07 00:32:49 341.6 9.51
2020-07-07 00:37:49 341.66 9.79
2020-07-07 00:42:50 342.09 9.96
2020-07-07 00:47:51 340.2 10.26
2020-07-07 00:52:52 341.82 10.08
2020-07-07 00:57:52 340.52 9.42
2020-07-07 01:02:53 340.47 10.08
2020-07-07 01:07:54 339.44 9.29
2020-07-07 01:12:55 341.06 9.93
2020-07-07 01:17:56 340.47 9.25
2020-07-07 01:22:56 339.66 9.64
2020-07-07 01:27:57 339.93 9.33
2020-07-07 01:32:58 340.68 9.69
2020-07-07 01:37:59 342.04 9.665352985716378
2020-07-07 01:43:00 341.71 9.58
2020-07-07 01:48:00 342.15 9.19
2020-07-07 01:53:01 341.33 9.82
2020-07-07 01:58:02 341.5 9.87
2020-07-07 02:03:03 340.52 9.71
2020-07-07 02:08:04 341.5 9.63
2020-07-07 02:13:04 339.49 9.95
2020-07-07 02:18:05 339.49 10.0
2020-07-07 02:23:06 339.82 9.63
2020-07-07 02:28:07 341.33 9.15
2020-07-07 02:33:07 338.68 9.5
2020-07-07 02:38:08 341.12 9.32
2020-07-07 02:43:09 337.11 9.64
2020-07-07 02:48:10 339.76 9.14
2020-07-07 02:53:11 338.3 9.64
2020-07-07 02:58:12 341.44 9.3
2020-07-07 03:03:12 339.06 9.58
2020-07-07 03:08:13 340.74 9.42
2020-07-07 03:13:14 340.47 9.45
2020-07-07 03:18:15 339.33 8.99
2020-07-07 03:23:15 340.25 9.93
2020-07-07 03:28:16 339.38 8.96
2020-07-07 03:33:17 339.28 9.29
2020-07-07 03:38:18 338.25 9.42
2020-07-07 03:43:19 337.54 9.56
2020-07-07 03:48:19 338.57 9.64
2020-07-07 03:53:20 340.36 9.45
2020-07-07 03:58:21 339.76 9.69
2020-07-07 04:03:22 338.41 9.43
2020-07-07 04:08:22 336.95 9.94
2020-07-07 04:13:23 338.14 9.24
2020-07-07 04:18:24 338.52 9.31
2020-07-07 04:23:25 338.19 10.1
2020-07-07 04:28:26 337.16 9.63
2020-07-07 04:33:26 337.54 9.06
2020-07-07 04:38:27 338.25 9.83
2020-07-07 04:43:28 339.49 9.0
2020-07-07 04:48:29 340.41 9.82
2020-07-07 04:53:30 339.71 9.74
2020-07-07 04:58:30 339.33 9.21
2020-07-07 05:03:31 339.38 9.3
2020-07-07 05:08:32 339.87 9.58
2020-07-07 05:13:33 336.73 9.14
2020-07-07 05:18:33 337.27 9.12
2020-07-07 05:23:34 339.22 9.04
2020-07-07 05:28:35 339.76 9.13
2020-07-07 05:33:36 339.49 9.19
2020-07-07 05:38:37 338.68 8.72
