Date Time VMFC
Date Time VMFC
Date Time VMFC
2020-07-06 12:31:46 534.34 8.98
Date Time VMFC
Date Time VMFC
2020-07-07 01:07:39 552.05 9.39
2020-07-07 01:12:40 537.53 9.62
2020-07-07 01:17:40 560.28 10.12
2020-07-07 01:22:41 543.33 9.27
2020-07-07 01:27:42 573.01 9.71
2020-07-07 01:32:42 578.31 9.28
2020-07-07 01:37:43 530.66 9.36
2020-07-07 01:42:44 552.16 9.89
2020-07-07 01:47:44 530.82 9.52
2020-07-07 01:52:45 570.03 9.36
2020-07-07 01:57:46 566.99 9.31
2020-07-07 02:02:46 561.74 9.28
2020-07-07 02:07:47 536.07 9.55
2020-07-07 02:12:48 543.27 9.56
2020-07-07 02:17:48 573.76 9.63
2020-07-07 02:22:49 546.9 9.85
2020-07-07 02:27:50 576.42 9.24
2020-07-07 02:32:50 544.63 9.52
2020-07-07 02:37:51 551.18 9.4
2020-07-07 02:42:52 599.7 8.96
2020-07-07 02:47:53 531.04 9.07
2020-07-07 02:52:53 534.56 9.24
2020-07-07 02:57:54 588.6 9.07
2020-07-07 03:02:55 541.7 9.39
2020-07-07 03:07:55 538.94 9.43
2020-07-07 03:12:56 611.67 9.38
2020-07-07 03:17:57 557.25 9.72
2020-07-07 03:22:57 554.27 9.97
2020-07-07 03:27:58 583.57 9.02
2020-07-07 03:32:59 578.37 8.96
2020-07-07 03:37:59 537.75 10.09
2020-07-07 03:43:00 536.61 9.0
2020-07-07 03:48:01 564.72 9.69
2020-07-07 03:53:01 600.84 8.93
2020-07-07 03:58:02 585.3 9.39
2020-07-07 04:03:03 583.08 9.02
2020-07-07 04:08:03 558.11 9.13
2020-07-07 04:13:04 572.03 9.71
2020-07-07 04:18:05 543.0 9.42
2020-07-07 04:23:06 598.51 9.04
2020-07-07 04:28:06 551.72 9.92
2020-07-07 04:33:07 560.93 9.05
2020-07-07 04:38:08 585.68 9.59
2020-07-07 04:43:08 572.73 9.62
2020-07-07 04:48:09 588.11 9.76
2020-07-07 04:53:10 566.56 8.97
2020-07-07 04:58:10 530.98 9.37
2020-07-07 05:03:11 541.11 9.19
2020-07-07 05:08:12 570.89 9.04
2020-07-07 05:13:12 569.49 9.61
2020-07-07 05:18:13 543.92 9.68
2020-07-07 05:23:14 581.24 9.33
2020-07-07 05:28:14 549.56 9.2
