Date		 Min V 	Max V 	OC Sample Time 	CC Sample Time 	OC Min Time Limit  CC Min Time Limit 	OC Sample Time Max	CC Sample Time Max	OC FracV	CC FracV	Alpha 	Episilon 	Time Reference 	Time Interval  Min Time Interval Epsilon Max Count 	RLoad CalibADCV Reference  CalibADC Zero  CalibADC Max  Device ID Acquisition Rate

2021-02-26 12:26:12 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 12:41:22 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 12:55:35 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:05:35 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:06:29 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:09:16 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:10:28 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:12:28 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:14:23 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:34:54 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:36:50 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:38:22 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:57:37 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 13:58:35 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 14:00:29 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 14:07:05 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 14:08:30 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 14:09:54 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 14:14:27 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:01:33 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:07:19 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:08:52 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:09:56 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:18:19 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:19:53 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:25:42 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:54:05 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 15:59:31 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 16:10:44 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 17:21:13 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		100000000000		1266		1583		931		241		0		
2021-02-26 17:22:29 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		4294967295		1266		1583		931		241		0		
2021-02-26 17:22:38 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 20:22:32 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 20:22:39 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-02-26 20:22:47 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		16000		1266		1583		931		241		0		
2021-02-26 20:42:16 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-02-26 20:44:03 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		99999999		1266		1583		931		241		0		
2021-02-26 21:09:27 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-02-26 21:19:52 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-02-26 21:30:15 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 10:41:35 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 11:12:27 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 11:35:31 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 11:36:07 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 11:36:25 10.0		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 12:11:53 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 12:36:31 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-03-01 12:36:45 10.0		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 12:39:32 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 12:42:17 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
