Date		 Min V 	Max V 	OC Sample Time 	CC Sample Time 	OC Min Time Limit  CC Min Time Limit 	OC Sample Time Max	CC Sample Time Max	OC FracV	CC FracV	Alpha 	Episilon 	Time Reference 	Time Interval  Min Time Interval Epsilon Max Count 	RLoad CalibADCV Reference  CalibADC Zero  CalibADC Max  Device ID Acquisition Rate

2021-02-25 21:33:53 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:34:57 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:37:22 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:38:36 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:40:00 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:40:59 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:44:40 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:45:52 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:58:53 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 21:59:49 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:00:54 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:03:49 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:10:18 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:12:09 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:18:53 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:20:43 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:22:08 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:26:34 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:31:26 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:33:03 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:41:28 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:42:40 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 22:54:14 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 23:11:37 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 23:28:03 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 23:31:04 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-25 23:56:52 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		50		4		8000		1266		1583		931		241		0		
2021-02-26 09:06:39 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		240		180		4		8000		1266		1583		931		241		0		
2021-02-26 23:35:47 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 10:04:39 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1266		1583		931		241		0		
2021-03-01 12:12:18 10.00		1000.00		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		50		180		4		8000		1000.00		1583.00		931.00		241		0		
2021-03-01 13:15:36 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		8000		1266		1583		931		241		0		
2021-03-01 13:15:49 10.0		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		500		1266		1583		931		241		0		
2021-03-01 13:18:41 10.0		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		45797		1266		1583		931		241		0		
2021-03-01 13:19:22 10.0		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		8000		1266		1583		931		241		0		
2021-03-02 09:16:24 10		1000		1000		500		30		6		120		60		0.4000		0.6321		0.2000		0.0015		34565		30		180		4		7943		1266		1583		931		241		0		
